,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
25,3.3241255056825922e-06,8.89798460648663e-06,0.0028625954198473282,0.028458580518824803,0.01886884375131844,1.0,2020-11-10
26,0.01122582753465209,0.007136183654402277,0.0,0.039482494995756685,0.1818251179369315,0.23748348594597057,2020-11-10
27,5.114039239511681e-07,0.0,0.00047709923664122136,0.028458580518824803,,,2020-11-10
28,0.019225463415058236,0.027396894603372333,0.0,0.046902024256704256,0.10660214796932646,0.5323659675209809,2020-11-10
29,0.00018180409496464025,5.338790763891978e-05,0.16579198473282442,0.028461138271603674,0.14276985950190585,0.10970464135021098,2020-11-10
30,0.0,0.0,0.0,0.028458580518824803,,,2020-11-10
31,0.015688849578973933,0.01835654224318192,0.0,0.043624264070581696,0.1520865211267446,0.4371047656300932,2020-11-10
32,7.671058859267521e-07,0.0,0.0007156488549618321,0.028458580518824803,0.0,0.0,2020-11-11
33,5.4720219862774984e-05,8.008186145837967e-05,0.04341603053435114,0.028464463350216206,0.025439688946508984,0.5467289719626168,2020-11-11
34,1.8154839300266466e-05,8.89798460648663e-06,0.016698473282442748,0.028458580518824803,0.016884894359182466,0.18309859154929575,2020-11-11
35,6.469259637982276e-05,8.89798460648663e-06,0.05629770992366412,0.028462672923270996,0.02868740877112012,0.05138339920948617,2020-11-11
36,0.00025212213450792587,0.00042710326111135825,0.1827290076335878,0.028502573866621375,0.04388405724921637,0.6328600405679514,2020-11-11
37,0.27444491578839436,0.39421631000578367,0.0,0.29165031836348837,0.14913920700701414,0.5366179073884282,2020-11-11
38,3.5798274676581766e-06,0.0,0.003101145038167939,0.02845883629410269,0.03002253249802986,0.0,2020-11-11
39,0.00021530105198344174,8.89798460648663e-06,0.16984732824427481,0.02849157552967223,0.19486969350637975,0.015439429928741092,2020-11-11
40,9.230840827318583e-05,0.00022244961516216575,0.07848282442748092,0.028460370945770013,0.031798449768692526,0.9002770083102495,2020-11-11
41,3.3241255056825922e-06,8.89798460648663e-06,0.0028625954198473282,0.028458580518824803,0.01886884375131844,1.0,2020-11-11
42,0.011428087786574778,0.00720736753125417,0.0,0.03968276703834225,0.1851294546529074,0.2356073658067259,2020-11-11
43,5.114039239511681e-07,0.0,0.00047709923664122136,0.028458580518824803,,,2020-11-11
44,0.019547903589109447,0.02796636561818748,0.0,0.04720818726433505,0.10841638970913153,0.5344678735872749,2020-11-11
45,0.00018308260477451816,5.338790763891978e-05,0.16579198473282442,0.028462417147993108,0.1437849206511807,0.10893854748603353,2020-11-11
46,0.0,0.0,0.0,0.028458580518824803,,,2020-11-11
